Bank angle,n,S,Percentage
1,1.000152328,35.44855972,86.61573237
2,1.000609544,35.46476491,86.65532846
3,1.001372346,35.49180102,86.72138903
4,1.002441898,35.52970932,86.81401496
5,1.003819838,35.57854785,86.93334801
6,1.00550828,35.63839157,87.07957138
7,1.007509825,35.70933269,87.25291034
8,1.009827573,35.79148097,87.45363312
9,1.012465126,35.88496419,87.68205194
10,1.015426612,35.98992862,87.93852416
11,1.018716695,36.10653956,88.22345371
12,1.022340595,36.23498203,88.53729265
13,1.026304108,36.37546146,88.88054294
14,1.030613629,36.52820452,89.25375845
15,1.03527618,36.69346007,89.65754722
16,1.040299436,36.87150012,90.0925739
17,1.045691756,37.062621,90.55956256
18,1.051462224,37.26714462,91.05929973
19,1.057620681,37.4854198,91.59263775
20,1.064177772,37.71782384,92.16049851
21,1.071144994,37.96476418,92.76387756
22,1.078534743,38.22668024,93.4038486
23,1.086360377,38.50404547,94.08156845
24,1.094636279,38.79736957,94.79828251
25,1.103377919,39.10720093,95.55533078
26,1.11260194,39.43412941,96.35415448
27,1.122326238,39.77878924,97.19630331
28,1.132570051,40.14186235,98.08344355
29,1.143354068,40.52408201,99.01736683
30,1.154700538,40.92623678,100
31,1.166633397,41.34917502,101.0334159
32,1.179178403,41.79380969,102.1198453
33,1.192363293,42.26112384,103.2616902
34,1.206217949,42.75217663,104.4615386
35,1.220774589,43.26810997,105.7221806
36,1.236067977,43.81015601,107.0466269
37,1.252135658,44.37964539,108.4381289
38,1.269018215,44.97801657,109.9002012
39,1.286759566,45.60682612,111.4366473
40,1.305407289,46.26776038,113.0515875
41,1.325012993,46.9626485,114.7494913
42,1.34563273,47.69347713,116.5352128
43,1.367327461,48.46240698,118.4140317
44,1.390163591,49.2717916,120.3916985
45,1.414213562,50.12419861,122.4744871
46,1.43955654,51.02243382,124.6692533
47,1.466279186,51.96956886,126.9835024
48,1.49447655,52.96897257,129.4254658
49,1.524253087,54.02434715,132.0041895
50,1.555723827,55.13976966,134.7296355
51,1.589015729,56.3197399,137.6127988
52,1.624269245,57.56923595,140.6658429
53,1.661640141,58.89377861,143.9022574
54,1.701301617,60.29950666,147.337042
55,1.743446796,61.79326501,150.9869215
56,1.78829165,63.38270839,154.8705998
57,1.836078459,65.07642394,159.0090589
58,1.887079915,66.88407674,163.4259145
59,1.941604026,68.81658359,168.1478411
60,2,70.88632147,173.2050808
